DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
12549,0,12549,3.3154938426378866,0,90000000000,0,0,2,2
12550,1,12550,3.3154938426378866,0,90000000000,0,0,2,2
12551,2,12551,2.975201612085433,0,-2.9386506955405136,0,0,2,2
12552,3,12552,6.2150737757851715,0,0.30865415345834524,0,0,2,2
12553,4,12553,2.5597526670838406,0,-0.27357377649245207,0,0,2,2
12554,5,12554,2.5114092922510154,0,-20.685357682579454,0,0,2,2
12555,6,12555,2.591330233775972,0,12.512365106306126,0,0,2,2
12556,7,12556,2.720291021429862,0,7.754295070559279,0,0,2,2
12557,8,12557,2.7008094951897936,0,-51.33068054715695,0,0,2,2
12558,9,12558,2.726427877609268,0,39.034470780630755,0,0,2,2
12559,10,12559,2.6777100544854915,0,-20.526368706157417,0,0,2,2
12560,11,12560,2.7680258496980326,0,11.072260368706159,0,0,2,2
12561,12,12561,2.70466881647487,0,-15.783567334627165,0,0,2,2
12562,13,12562,2.67388944679908,0,-32.489294307627425,0,0,2,2
12563,14,12563,2.6654644539036787,0,-118.694462109974,0,0,2,2
12564,15,12564,2.7276335624386676,0,16.085159069591576,0,0,2,2
12565,16,12565,2.711889519398021,0,-63.516086523536174,0,0,2,2
12566,17,12566,2.714019992094415,0,469.3794019010342,0,0,2,2
12567,18,12567,2.7289566039937796,0,66.94958714449437,0,0,2,2
12568,19,12568,2.6149789821373055,0,-8.77365208811995,0,0,2,2
12569,20,12569,2.7606365482051167,0,6.865417478790272,0,0,2,2
12570,21,12570,2.703833348390549,0,-17.60464204947019,0,0,2,2
12571,22,12571,2.68954067215125,0,-69.96590304413472,0,0,2,2
12572,23,12572,2.7019277292518966,0,80.7294252278682,0,0,2,2
12573,24,12573,2.7339037979004095,0,31.273387951226685,0,0,2,2
12574,25,12574,2.688869688691735,0,-22.205390926382147,0,0,2,2
12575,26,12575,2.7202169166779213,0,31.90074734648536,0,0,2,2
12576,27,12576,2.699152646608991,0,-47.47375516586237,0,0,2,2
12577,28,12577,2.709090139088035,0,100.6290069762341,0,0,2,2
12578,29,12578,2.7224257257946056,0,74.98732691732964,0,0,2,2
12579,30,12579,2.7242760419681202,0,540.448175459946,0,0,2,2
12580,31,12580,2.6973927064056182,0,-37.1977650494696,0,0,2,2
12581,32,12581,2.720677836818264,0,42.94586211365709,0,0,2,2
12582,33,12582,2.7260427868371577,0,186.39502632424663,0,0,2,2
12583,34,12583,2.735125678316774,0,110.09709873163204,0,0,2,2
12584,35,12584,2.7270502166109045,0,-123.83192892527553,0,0,2,2
12585,36,12585,2.7382770498692244,0,89.0723124670023,0,0,2,2
12586,37,12586,2.7279434014173187,0,-96.77124247589317,0,0,2,2
12587,38,12587,2.7296116978747795,0,599.4138484967046,0,0,2,2
12588,39,12588,2.7473060598204846,0,56.515177154648924,0,0,2,2
12589,40,12589,2.717313414758153,0,-33.34150749031209,0,0,2,2
12590,41,12590,2.739141176352766,0,45.81321798231418,0,0,2,2
12591,42,12591,2.7210624515349338,0,-55.31363578329495,0,0,2,2
12592,43,12592,2.745133886475199,0,41.543015714749,0,0,2,2
12593,44,12593,2.732159224996815,0,-77.07330180953278,0,0,2,2
12594,45,12594,2.761617732810519,0,33.9460507071171,0,0,2,2
12595,46,12595,2.714761068325342,0,-21.341681295226323,0,0,2,2
12596,47,12596,2.7631461053649122,0,20.66754643966028,0,0,2,2
12597,48,12597,2.7172752647141585,0,-21.800341694491443,0,0,2,2
12598,49,12598,2.7613433384430772,0,22.69216499344674,0,0,2,2
12599,50,12599,2.7644512568975506,0,321.7587638313564,0,0,2,2
12600,51,12600,2.7573114914713823,0,-140.06062388756655,0,0,2,2
12601,52,12601,2.7679631906266424,0,93.88173524466967,0,0,2,2
12602,53,12602,2.742197912166956,0,-38.81192285830152,0,0,2,2
12603,54,12603,2.7402979739973574,0,-526.332917566039,0,0,2,2
12604,55,12604,2.7674599574108427,0,36.81616267770501,0,0,2,2
12605,56,12605,2.7595090819154606,0,-125.77231282024286,0,0,2,2
12606,57,12606,2.7562810041213575,0,-309.78187757021584,0,0,2,2
12607,58,12607,2.781851929757515,0,39.10691440070469,0,0,2,2
12608,59,12608,2.7412710639022007,0,-24.64215533412631,0,0,2,2
12609,60,12609,2.752752222162967,0,87.09922616581305,0,0,2,2
12610,61,12610,2.771832833080095,0,52.409223391392956,0,0,2,2
12611,62,12611,2.757772463984986,0,-71.12188828299433,0,0,2,2
12612,63,12612,2.7737350095095286,0,62.646649838053534,0,0,2,2
12613,64,12613,2.774609716038843,0,1143.2405801103591,0,0,2,2
12614,65,12614,2.773620701943784,0,-1011.1079356662939,0,0,2,2
12615,66,12615,2.7683485639786563,0,-189.67637163792133,0,0,2,2
12616,67,12616,2.7671125103088325,0,-809.0263589789125,0,0,2,2
12617,68,12617,2.742304736402245,0,-40.309944929579075,0,0,2,2
12618,69,12618,2.7864342492707093,0,22.660571916591756,0,0,2,2
12619,70,12619,2.769621933152539,0,-59.480204450785735,0,0,2,2
12620,71,12620,2.7487999609399036,0,-48.02619030454597,0,0,2,2
12621,72,12621,2.7620440540448072,0,75.5053586590804,0,0,2,2
12622,73,12622,2.774714218429559,0,78.92557425722849,0,0,2,2
12623,74,12623,2.7394911250437524,0,-28.39046500109392,0,0,2,2
12624,75,12624,2.738781184379979,0,-1408.5684213174031,0,0,2,2
12625,76,12625,2.751611764429704,0,77.93879903515723,0,0,2,2
12626,77,12626,2.754914854854965,0,302.74678293768363,0,0,2,2
12627,78,12627,2.7486528553226512,0,-159.69340062063603,0,0,2,2
12628,79,12628,2.7064342493355285,0,-23.686239197594837,0,0,2,2
12629,80,12629,2.6757237514655516,0,-32.562155268007544,0,0,2,2
12630,81,12630,2.6924248617949793,0,59.8762585406062,0,0,2,2
12631,82,12631,2.664786629831284,0,-36.181764496135784,0,0,2,2
12632,83,12632,2.6756510947246275,0,92.04318940849795,0,0,2,2
12633,84,12633,2.65476565514204,0,-47.880246716651136,0,0,2,2
12634,85,12634,2.6005643593327976,0,-18.449743406862986,0,0,2,2
12635,86,12635,2.595928215684225,0,-215.69650895262242,0,0,2,2
12636,87,12636,2.542329449455077,0,-18.65714587020077,0,0,2,2
12637,88,12637,2.5698331037346986,0,36.358804900370664,0,0,2,2
12638,89,12638,2.4884989983232497,0,-12.294965254013059,0,0,2,2
12639,90,12639,2.5303298867861814,0,23.905779598397643,0,0,2,2
12640,91,12640,2.4793465982957477,0,-19.61427027579115,0,0,2,2
12641,92,12641,2.4715439459795396,0,-128.1615480831761,0,0,2,2
12642,93,12642,2.4124033201400628,0,-16.908850486537993,0,0,2,2
12643,94,12643,2.3462177630203893,0,-15.109036525776304,0,0,2,2
12644,95,12644,2.3793268635374023,0,30.203176298496953,0,0,2,2
12645,96,12645,2.2549016063263476,0,-8.036953448316071,0,0,2,2
12646,97,12646,2.284722676432434,0,33.533337215685755,0,0,2,2
12647,98,12647,2.2171627976088035,0,-14.801684334138109,0,0,2,2
12648,99,12648,2.1646538309189727,0,-19.04436638235475,0,0,2,2
12649,100,12649,2.1647910039624962,0,7290.062058207642,0,0,2,2
12650,101,12650,2.085968231988412,0,-12.68668907417749,0,0,2,2
12651,102,12651,2.085324458305523,0,-1553.3409124652942,0,0,2,2
12652,103,12652,2.0275766203916725,0,-17.316665629834066,0,0,2,2
12653,104,12653,1.9890797430924607,0,-25.9761328750806,0,0,2,2
12654,105,12654,1.939615600026885,0,-20.2166648004854,0,0,2,2
12655,106,12655,1.8458144895715929,0,-10.660854601253629,0,0,2,2
12656,107,12656,1.840795638259794,0,-199.24877982519695,0,0,2,2
12657,108,12657,1.7742860557395987,0,-15.035427409221136,0,0,2,2
12658,109,12658,1.7399029287467938,0,-29.084032997035433,0,0,2,2
12659,110,12659,1.7203140293746284,0,-51.04932038299916,0,0,2,2
12660,111,12660,1.7020100062761685,0,-54.63279818982197,0,0,2,2
12661,112,12661,1.6202668406931697,0,-12.23343863511916,0,0,2,2
12662,113,12662,1.6571499211257974,0,27.112702851017175,0,0,2,2
12663,114,12663,1.6094737129689727,0,-20.97482242527823,0,0,2,2
12664,115,12664,1.3977482488516646,0,-4.7230974515467,0,0,2,2
12665,116,12665,1.5123422305239878,0,8.726461768816616,0,0,2,2
12666,117,12666,1.5234293764113442,0,90.19453790541134,0,0,2,2
12667,118,12667,1.4980551900583554,0,-39.410130677242776,0,0,2,2
12668,119,12668,1.4756595609267715,0,-44.651569916816044,0,0,2,2
12669,120,12669,1.4430813562399925,0,-30.695368563566706,0,0,2,2
12670,121,12670,1.4491714639421214,0,164.2007085770305,0,0,2,2
12671,122,12671,1.4655663854918914,0,60.9944974097192,0,0,2,2
12672,123,12672,1.360627236359085,0,-9.529332077339824,0,0,2,2
12673,124,12673,1.438871117048398,0,12.780552181080463,0,0,2,2
12674,125,12674,1.4174118125300286,0,-46.59983268069024,0,0,2,2
12675,126,12675,1.4115026862893523,0,-169.22975737366377,0,0,2,2
12676,127,12676,1.441147812601869,0,33.732357536887214,0,0,2,2
12677,128,12677,1.411061820044588,0,-33.23805914317386,0,0,2,2
12678,129,12678,1.5078239184659612,0,10.33462498555235,0,0,2,2
12679,130,12679,1.4286048469883201,0,-12.623222935429656,0,0,2,2
12680,131,12680,1.34341504075579,0,-11.738493655807218,0,0,2,2
12681,132,12681,1.5059451055404949,0,6.152707816394761,0,0,2,2
12682,133,12682,1.4888348703232837,0,-58.444550136522835,0,0,2,2
12683,134,12683,1.3551982813737007,0,-7.48298058084429,0,0,2,2
12684,135,12684,1.5335172451999721,0,5.607928503747124,0,0,2,2
12685,136,12685,1.5189064600788043,0,-68.44259166820653,0,0,2,2
12686,137,12686,1.464711444643935,0,-18.451881450274456,0,0,2,2
12687,138,12687,1.5019094797275858,0,26.883140406508193,0,0,2,2
12688,139,12688,1.5051350272984885,0,310.02488043298484,0,0,2,2
12689,140,12689,1.5316470251162386,0,37.718771964083594,0,0,2,2
12690,141,12690,1.4300926268533625,0,-9.846939345861461,0,0,2,2
12691,142,12691,1.5963683671929245,0,6.014106435237261,0,0,2,2
12692,143,12692,1.5255049653835036,0,-14.111656715117713,0,0,2,2
12693,144,12693,1.5255049653837183,0,4657290204105.994,0,0,2,2
12694,145,12694,1.5255049653835036,0,-4657290204105.994,0,0,2,2
12695,146,12695,1.5255049653837183,0,4657290204105.994,0,0,2,2
12696,147,12696,1.5255049653835036,0,-4657290204105.994,0,0,2,2
12697,148,12697,1.5255049653835036,0,90000000000,0,0,2,2
