NID,PID
12549,12549
12550,12550
12551,12551
12552,12552
12553,12553
12554,12554
12555,12555
12556,12556
12557,12557
12558,12558
12559,12559
12560,12560
12561,12561
12562,12562
12563,12563
12564,12564
12565,12565
12566,12566
12567,12567
12568,12568
12569,12569
12570,12570
12571,12571
12572,12572
12573,12573
12574,12574
12575,12575
12576,12576
12577,12577
12578,12578
12579,12579
12580,12580
12581,12581
12582,12582
12583,12583
12584,12584
12585,12585
12586,12586
12587,12587
12588,12588
12589,12589
12590,12590
12591,12591
12592,12592
12593,12593
12594,12594
12595,12595
12596,12596
12597,12597
12598,12598
12599,12599
12600,12600
12601,12601
12602,12602
12603,12603
12604,12604
12605,12605
12606,12606
12607,12607
12608,12608
12609,12609
12610,12610
12611,12611
12612,12612
12613,12613
12614,12614
12615,12615
12616,12616
12617,12617
12618,12618
12619,12619
12620,12620
12621,12621
12622,12622
12623,12623
12624,12624
12625,12625
12626,12626
12627,12627
12628,12628
12629,12629
12630,12630
12631,12631
12632,12632
12633,12633
12634,12634
12635,12635
12636,12636
12637,12637
12638,12638
12639,12639
12640,12640
12641,12641
12642,12642
12643,12643
12644,12644
12645,12645
12646,12646
12647,12647
12648,12648
12649,12649
12650,12650
12651,12651
12652,12652
12653,12653
12654,12654
12655,12655
12656,12656
12657,12657
12658,12658
12659,12659
12660,12660
12661,12661
12662,12662
12663,12663
12664,12664
12665,12665
12666,12666
12667,12667
12668,12668
12669,12669
12670,12670
12671,12671
12672,12672
12673,12673
12674,12674
12675,12675
12676,12676
12677,12677
12678,12678
12679,12679
12680,12680
12681,12681
12682,12682
12683,12683
12684,12684
12685,12685
12686,12686
12687,12687
12688,12688
12689,12689
12690,12690
12691,12691
12692,12692
12693,12693
12694,12694
12695,12695
12696,12696
12697,12697
12698,12698
12699,12699
12700,12700
12701,12701
12702,12702
12703,12703
12704,12704
12705,12705
12706,12706
12707,12707
12708,12708
12709,12709
12710,12710
12711,12711
12712,12712
12713,12713
12714,12714
12715,12715
12716,12716
12717,12717
12718,12718
12719,12719
12720,12720
12721,12721
12722,12722
12723,12723
12724,12724
12725,12725
12726,12726
12727,12727
12728,12728
12729,12729
12730,12730
12731,12731
12732,12732
12733,12733
12734,12734
12735,12735
12736,12736
12737,12737
12738,12738
12739,12739
12740,12740
12741,12741
12742,12742
12743,12743
12744,12744
12745,12745
12746,12746
12747,12747
12748,12748
12749,12749
12750,12750
12751,12751
12752,12752
12753,12753
12754,12754
12755,12755
12756,12756
12757,12757
12758,12758
12759,12759
12760,12760
12761,12761
12762,12762
12763,12763
12764,12764
12765,12765
12766,12766
12767,12767
12768,12768
12769,12769
12770,12770
12771,12771
12772,12772
12773,12773
12774,12774
12775,12775
12776,12776
12777,12777
12778,12778
12779,12779
12780,12780
12781,12781
12782,12782
12783,12783
12784,12784
12785,12785
12786,12786
12787,12787
12788,12788
12789,12789
12790,12790
12791,12791
12792,12792
12793,12793
12794,12794
12795,12795
12796,12796
12797,12797
12798,12798
12799,12799
12800,12800
12801,12801
12802,12802
12803,12803
12804,12804
12805,12805
12806,12806
12807,12807
12808,12808
12809,12809
12810,12810
12811,12811
12812,12812
12813,12813
12814,12814
12815,12815
12816,12816
12817,12817
12818,12818
12819,12819
12820,12820
12821,12821
12822,12822
12823,12823
12824,12824
12825,12825
12826,12826
12827,12827
12828,12828
12829,12829
12830,12830
12831,12831
12832,12832
12833,12833
12834,12834
12835,12835
12836,12836
12837,12837
12838,12838
12839,12839
12840,12840
12841,12841
12842,12842
12843,12843
12844,12844
12845,12845
12846,12846
12847,12847
12848,12848
12849,12849
12850,12850
12851,12851
12852,12852
12853,12853
12854,12854
12855,12855
12856,12856
12857,12857
12858,12858
12859,12859
12860,12860
12861,12861
12862,12862
12863,12863
12864,12864
12865,12865
12866,12866
12867,12867
12868,12868
12869,12869
12870,12870
12871,12871
12872,12872
12873,12873
12874,12874
12875,12875
12876,12876
12877,12877
12878,12878
12879,12879
12880,12880
12881,12881
12882,12882
12883,12883
12884,12884
12885,12885
12886,12886
12887,12887
12888,12888
12889,12889
12890,12890
12891,12891
12892,12892
12893,12893
12894,12894
12895,12895
12896,12896
12897,12897
12898,12898
12899,12899
12900,12900
12901,12901
12902,12902
12903,12903
12904,12904
12905,12905
12906,12906
12907,12907
12908,12908
12909,12909
12910,12910
12911,12911
12912,12912
12913,12913
12914,12914
12915,12915
12916,12916
12917,12917
12918,12918
12919,12919
12920,12920
12921,12921
12922,12922
12923,12923
12924,12924
12925,12925
12926,12926
12927,12927
12928,12928
12929,12929
12930,12930
12931,12931
12932,12932
12933,12933
12934,12934
12935,12935
12936,12936
12937,12937
12938,12938
12939,12939
12940,12940
12941,12941
12942,12942
12943,12943
12944,12944
12945,12945
12946,12946
12947,12947
12948,12948
12949,12949
12950,12950
12951,12951
12952,12952
12953,12953
12954,12954
12955,12955
12956,12956
12957,12957
12958,12958
12959,12959
12960,12960
12961,12961
12962,12962
12963,12963
12964,12964
12965,12965
12966,12966
12967,12967
12968,12968
12969,12969
12970,12970
12971,12971
12972,12972
12973,12973
12974,12974
12975,12975
12976,12976
12977,12977
12978,12978
12979,12979
12980,12980
12981,12981
12982,12982
12983,12983
12984,12984
12985,12985
12986,12986
12987,12987
12988,12988
12989,12989
12990,12990
12991,12991
12992,12992
12993,12993
12994,12994
12995,12995
12996,12996
12997,12997
12998,12998
12999,12999
13000,13000
13001,13001
13002,13002
13003,13003
13004,13004
13005,13005
13006,13006
13007,13007
13008,13008
13009,13009
13010,13010
13011,13011
13012,13012
13013,13013
13014,13014
13015,13015
13016,13016
13017,13017
13018,13018
13019,13019
13020,13020
13021,13021
13022,13022
13023,13023
13024,13024
13025,13025
13026,13026
13027,13027
13028,13028
13029,13029
13030,13030
13031,13031
13032,13032
13033,13033
13034,13034
13035,13035
13036,13036
13037,13037
13038,13038
13039,13039
13040,13040
13041,13041
13042,13042
13043,13043
13044,13044
13045,13045
13046,13046
13047,13047
13048,13048
13049,13049
13050,13050
13051,13051
13052,13052
13053,13053
13054,13054
13055,13055
13056,13056
13057,13057
13058,13058
13059,13059
13060,13060
13061,13061
13062,13062
13063,13063
13064,13064
13065,13065
13066,13066
13067,13067
13068,13068
13069,13069
13070,13070
13071,13071
13072,13072
13073,13073
13074,13074
13075,13075
13076,13076
13077,13077
13078,13078
13079,13079
13080,13080
13081,13081
13082,13082
13083,13083
13084,13084
13085,13085
13086,13086
13087,13087
13088,13088
13089,13089
13090,13090
13091,13091
13092,13092
13093,13093
13094,13094
13095,13095
13096,13096
13097,13097
13098,13098
13099,13099
13100,13100
13101,13101
13102,13102
13103,13103
13104,13104
13105,13105
13106,13106
13107,13107
13108,13108
13109,13109
13110,13110
13111,13111
13112,13112
13113,13113
13114,13114
13115,13115
13116,13116
13117,13117
13118,13118
13119,13119
13120,13120
13121,13121
13122,13122
13123,13123
13124,13124
13125,13125
13126,13126
13127,13127
13128,13128
13129,13129
13130,13130
13131,13131
13132,13132
13133,13133
13134,13134
13135,13135
13136,13136
13137,13137
13138,13138
13139,13139
13140,13140
13141,13141
13142,13142
13143,13143
13144,13144
13145,13145
13146,13146
13147,13147
13148,13148
13149,13149
13150,13150
13151,13151
13152,13152
13153,13153
13154,13154
13155,13155
13156,13156
13157,13157
13158,13158
13159,13159
13160,13160
13161,13161
13162,13162
13163,13163
13164,13164
13165,13165
13166,13166
13167,13167
13168,13168
13169,13169
13170,13170
13171,13171
13172,13172
13173,13173
13174,13174
13175,13175
13176,13176
13177,13177
13178,13178
13179,13179
13180,13180
13181,13181
13182,13182
13183,13183
13184,13184
13185,13185
13186,13186
13187,13187
13188,13188
13189,13189
13190,13190
13191,13191
13192,13192
13193,13193
13194,13194
13195,13195
13196,13196
13197,13197
13198,13198
13199,13199
13200,13200
13201,13201
13202,13202
13203,13203
13204,13204
13205,13205
13206,13206
13207,13207
13208,13208
13209,13209
13210,13210
13211,13211
13212,13212
13213,13213
13214,13214
13215,13215
13216,13216
13217,13217
13218,13218
13219,13219
13220,13220
13221,13221
13222,13222
13223,13223
13224,13224
13225,13225
13226,13226
13227,13227
13228,13228
13229,13229
13230,13230
13231,13231
13232,13232
13233,13233
13234,13234
13235,13235
13236,13236
13237,13237
13238,13238
13239,13239
13240,13240
13241,13241
13242,13242
13243,13243
13244,13244
13245,13245
13246,13246
13247,13247
13248,13248
13249,13249
13250,13250
13251,13251
13252,13252
13253,13253
13254,13254
13255,13255
13256,13256
13257,13257
13258,13258
13259,13259
13260,13260
13261,13261
13262,13262
13263,13263
13264,13264
13265,13265
13266,13266
13267,13267
13268,13268
13269,13269
13270,13270
13271,13271
13272,13272
13273,13273
13274,13274
13275,13275
13276,13276
13277,13277
13278,13278
13279,13279
13280,13280
13281,13281
13282,13282
13283,13283
13284,13284
13285,13285
13286,13286
13287,13287
13288,13288
13289,13289
13290,13290
13291,13291
13292,13292
13293,13293
13294,13294
13295,13295
13296,13296
13297,13297
13298,13298
13299,13299
13300,13300
13301,13301
13302,13302
13303,13303
13304,13304
13305,13305
13306,13306
13307,13307
13308,13308
13309,13309
13310,13310
13311,13311
13312,13312
13313,13313
13314,13314
13315,13315
13316,13316
13317,13317
13318,13318
13319,13319
13320,13320
13321,13321
13322,13322
13323,13323
13324,13324
13325,13325
13326,13326
13327,13327
13328,13328
13329,13329
13330,13330
13331,13331
13332,13332
13333,13333
13334,13334
13335,13335
13336,13336
13337,13337
13338,13338
13339,13339
13340,13340
13341,13341
13342,13342
13343,13343
13344,13344
13345,13345
13346,13346
13347,13347
13348,13348
13349,13349
13350,13350
13351,13351
13352,13352
13353,13353
13354,13354
13355,13355
13356,13356
13357,13357
13358,13358
13359,13359
13360,13360
13361,13361
13362,13362
13363,13363
13364,13364
13365,13365
13366,13366
13367,13367
13368,13368
13369,13369
13370,13370
13371,13371
13372,13372
