PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
12549,0,0,-1.709,-1001.829,1996.68,0,0,0,0
12550,0,0,-1.712,-1001.836,1996.64,0,0,0,0
12551,0,0,-1.722,-1001.82,1996.544,0,0,0,0
12552,0,0,-1.731,-1001.825,1996.623,0,0,0,0
12553,0,0,-1.729,-1001.78,1996.554,0,0,0,0
12554,0,0,-1.728,-1001.747,1996.51,0,0,0,0
12555,0,0,-1.728,-1001.687,1996.412,0,0,0,0
12556,0,0,-1.723,-1001.627,1996.277,0,0,0,0
12557,0,0,-1.724,-1001.545,1996.103,0,0,0,0
12558,0,0,-1.729,-1001.456,1995.901,0,0,0,0
12559,0,0,-1.731,-1001.352,1995.693,0,0,0,0
12560,0,0,-1.736,-1001.255,1995.446,0,0,0,0
12561,0,0,-1.735,-1001.129,1995.176,0,0,0,0
12562,0,0,-1.741,-1001.001,1994.924,0,0,0,0
12563,0,0,-1.733,-1000.843,1994.617,0,0,0,0
12564,0,0,-1.736,-1000.672,1994.228,0,0,0,0
12565,0,0,-1.738,-1000.51,1993.873,0,0,0,0
12566,0,0,-1.738,-1000.33,1993.479,0,0,0,0
12567,0,0,-1.741,-1000.131,1993.025,0,0,0,0
12568,0,0,-1.742,-999.905,1992.635,0,0,0,0
12569,0,0,-1.752,-999.689,1992.097,0,0,0,0
12570,0,0,-1.75,-999.471,1991.631,0,0,0,0
12571,0,0,-1.755,-999.222,1991.118,0,0,0,0
12572,0,0,-1.768,-998.981,1990.605,0,0,0,0
12573,0,0,-1.767,-998.734,1990.035,0,0,0,0
12574,0,0,-1.764,-998.465,1989.482,0,0,0,0
12575,0,0,-1.766,-998.194,1988.877,0,0,0,0
12576,0,0,-1.768,-997.93,1988.319,0,0,0,0
12577,0,0,-1.768,-997.647,1987.706,0,0,0,0
12578,0,0,-1.769,-997.361,1987.063,0,0,0,0
12579,0,0,-1.774,-997.081,1986.433,0,0,0,0
12580,0,0,-1.769,-996.788,1985.817,0,0,0,0
12581,0,0,-1.775,-996.483,1985.136,0,0,0,0
12582,0,0,-1.773,-996.185,1984.46,0,0,0,0
12583,0,0,-1.772,-995.901,1983.801,0,0,0,0
12584,0,0,-1.766,-995.597,1983.11,0,0,0,0
12585,0,0,-1.77,-995.296,1982.404,0,0,0,0
12586,0,0,-1.769,-994.994,1981.717,0,0,0,0
12587,0,0,-1.775,-994.682,1981.001,0,0,0,0
12588,0,0,-1.78,-994.374,1980.262,0,0,0,0
12589,0,0,-1.777,-994.061,1979.568,0,0,0,0
12590,0,0,-1.774,-993.752,1978.843,0,0,0,0
12591,0,0,-1.779,-993.428,1978.119,0,0,0,0
12592,0,0,-1.781,-993.139,1977.429,0,0,0,0
12593,0,0,-1.778,-992.805,1976.66,0,0,0,0
12594,0,0,-1.781,-992.513,1975.927,0,0,0,0
12595,0,0,-1.782,-992.185,1975.206,0,0,0,0
12596,0,0,-1.786,-991.882,1974.444,0,0,0,0
12597,0,0,-1.784,-991.552,1973.713,0,0,0,0
12598,0,0,-1.789,-991.257,1972.976,0,0,0,0
12599,0,0,-1.789,-990.949,1972.199,0,0,0,0
12600,0,0,-1.787,-990.647,1971.451,0,0,0,0
12601,0,0,-1.788,-990.35,1970.694,0,0,0,0
12602,0,0,-1.788,-990.02,1969.912,0,0,0,0
12603,0,0,-1.789,-989.717,1969.199,0,0,0,0
12604,0,0,-1.795,-989.407,1968.409,0,0,0,0
12605,0,0,-1.792,-989.115,1967.682,0,0,0,0
12606,0,0,-1.789,-988.806,1966.919,0,0,0,0
12607,0,0,-1.791,-988.505,1966.12,0,0,0,0
12608,0,0,-1.789,-988.193,1965.382,0,0,0,0
12609,0,0,-1.79,-987.879,1964.617,0,0,0,0
12610,0,0,-1.788,-987.586,1963.861,0,0,0,0
12611,0,0,-1.791,-987.269,1963.075,0,0,0,0
12612,0,0,-1.783,-986.965,1962.286,0,0,0,0
12613,0,0,-1.784,-986.668,1961.514,0,0,0,0
12614,0,0,-1.784,-986.366,1960.73,0,0,0,0
12615,0,0,-1.788,-986.067,1959.968,0,0,0,0
12616,0,0,-1.791,-985.773,1959.22,0,0,0,0
12617,0,0,-1.789,-985.468,1958.497,0,0,0,0
12618,0,0,-1.797,-985.167,1957.685,0,0,0,0
12619,0,0,-1.795,-984.861,1956.899,0,0,0,0
12620,0,0,-1.803,-984.533,1956.109,0,0,0,0
12621,0,0,-1.8,-984.218,1955.318,0,0,0,0
12622,0,0,-1.804,-983.925,1954.556,0,0,0,0
12623,0,0,-1.813,-983.601,1953.795,0,0,0,0
12624,0,0,-1.82,-983.284,1953.051,0,0,0,0
12625,0,0,-1.817,-982.957,1952.256,0,0,0,0
12626,0,0,-1.816,-982.642,1951.482,0,0,0,0
12627,0,0,-1.823,-982.308,1950.676,0,0,0,0
12628,0,0,-1.824,-981.946,1949.898,0,0,0,0
12629,0,0,-1.825,-981.593,1949.195,0,0,0,0
12630,0,0,-1.83,-981.233,1948.448,0,0,0,0
12631,0,0,-1.832,-980.846,1947.7,0,0,0,0
12632,0,0,-1.833,-980.472,1946.955,0,0,0,0
12633,0,0,-1.822,-980.061,1946.179,0,0,0,0
12634,0,0,-1.805,-979.627,1945.457,0,0,0,0
12635,0,0,-1.816,-979.215,1944.778,0,0,0,0
12636,0,0,-1.839,-978.75,1944.096,0,0,0,0
12637,0,0,-1.843,-978.289,1943.38,0,0,0,0
12638,0,0,-1.843,-977.805,1942.748,0,0,0,0
12639,0,0,-1.84,-977.302,1942.031,0,0,0,0
12640,0,0,-1.838,-976.81,1941.399,0,0,0,0
12641,0,0,-1.852,-976.29,1940.743,0,0,0,0
12642,0,0,-1.851,-975.733,1940.119,0,0,0,0
12643,0,0,-1.842,-975.155,1939.553,0,0,0,0
12644,0,0,-1.849,-974.551,1938.92,0,0,0,0
12645,0,0,-1.853,-973.92,1938.406,0,0,0,0
12646,0,0,-1.842,-973.255,1937.83,0,0,0,0
12647,0,0,-1.841,-972.565,1937.309,0,0,0,0
12648,0,0,-1.822,-971.875,1936.843,0,0,0,0
12649,0,0,-1.819,-971.182,1936.375,0,0,0,0
12650,0,0,-1.821,-970.442,1935.956,0,0,0,0
12651,0,0,-1.807,-969.683,1935.527,0,0,0,0
12652,0,0,-1.777,-968.923,1935.154,0,0,0,0
12653,0,0,-1.791,-968.157,1934.813,0,0,0,0
12654,0,0,-1.776,-967.364,1934.507,0,0,0,0
12655,0,0,-1.779,-966.548,1934.276,0,0,0,0
12656,0,0,-1.754,-965.72,1934.047,0,0,0,0
12657,0,0,-1.755,-964.88,1933.874,0,0,0,0
12658,0,0,-1.751,-964.073,1933.736,0,0,0,0
12659,0,0,-1.73,-963.217,1933.607,0,0,0,0
12660,0,0,-1.704,-962.338,1933.491,0,0,0,0
12661,0,0,-1.699,-961.527,1933.451,0,0,0,0
12662,0,0,-1.632,-960.678,1933.378,0,0,0,0
12663,0,0,-1.622,-959.83,1933.345,0,0,0,0
12664,0,0,0.005,-958.526,1933.573,0,0,0,0
