DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,6.283185288933117,0,90000000000,0,0,2,2
2,1,2,6.283185288933117,0,90000000000,0,0,2,2
3,2,3,6.2831852889356945,0,387973779063.61957,0,0,2,2
4,3,4,0.017124267501468476,0,-0.15958989173251173,0,0,2,2
5,4,5,6.283185288923079,0,0.15958989173283306,0,0,2,2
6,5,6,0.012112873111070049,0,-0.15946235885884202,0,0,2,2
7,6,7,0.011685398930645078,0,-2339.3225738355854,0,0,2,2
8,7,8,0.007094903271598552,0,-217.84139976895352,0,0,2,2
9,8,9,0.008790071054728064,0,589.9121077878575,0,0,2,2
10,9,10,0.0060938061970325485,0,-370.88344535065266,0,0,2,2
11,10,11,0.012262400029354128,0,162.11150015426534,0,0,2,2
12,11,12,0.01109791345284834,0,-858.7475546524937,0,0,2,2
13,12,13,0.005093812957832073,0,-166.5528418170307,0,0,2,2
14,13,14,0.009370515647643627,0,233.82499849295422,0,0,2,2
15,14,15,0.008637207525112356,0,-1363.683244838673,0,0,2,2
16,15,16,0.008075461998652115,0,-1780.1654893477435,0,0,2,2
17,16,17,0.007524882601883814,0,-1816.268472575677,0,0,2,2
18,17,18,0.0070445861922349305,0,-2082.0476270706286,0,0,2,2
19,18,19,0.008816075719441409,0,564.4967044072419,0,0,2,2
20,19,20,0.007120332031753031,0,-589.7117631988303,0,0,2,2
21,20,21,0.006917041661454834,0,-4919.072155425508,0,0,2,2
22,21,22,0.006688808854114392,0,-4381.491038264085,0,0,2,2
23,22,23,0.00520048789204617,0,-671.8980821249506,0,0,2,2
24,23,24,0.006688808801200622,0,671.8981060127157,0,0,2,2
25,24,25,0.00784170757211148,0,867.3788412576256,0,0,2,2
26,25,26,0.003355731273032471,0,-222.91691558988052,0,0,2,2
27,26,27,0.008842234636508576,0,182.26544918518488,0,0,2,2
28,27,28,0.0033671065594514586,0,-182.6441292196219,0,0,2,2
29,28,29,0.007078050815699504,0,269.4731935992623,0,0,2,2
30,29,30,0.005947849333680411,0,-884.7979903667358,0,0,2,2
31,30,31,0.00634689716024343,0,2505.9652839434184,0,0,2,2
32,31,32,6.087569966154236,0,0.16444060490045936,0,0,2,2
33,32,33,6.087569966154236,0,90000000000,0,0,2,2
34,33,34,6.087569966154016,0,-4539918979204.129,0,0,2,2
35,34,35,6.087569966154236,0,4539918979204.129,0,0,2,2
36,35,36,6.087569966154236,0,90000000000,0,0,2,2
37,36,37,6.087569966154236,0,90000000000,0,0,2,2
38,37,38,6.087569966154236,0,90000000000,0,0,2,2
39,38,39,6.087569966154016,0,-4539918979204.129,0,0,2,2
40,39,40,6.087569966154236,0,4539918979204.129,0,0,2,2
41,40,41,6.087569966154236,0,90000000000,0,0,2,2
42,41,42,6.087569966154236,0,90000000000,0,0,2,2
43,42,43,6.087569966154236,0,90000000000,0,0,2,2
44,43,44,6.087569966154236,0,90000000000,0,0,2,2
45,44,45,6.087569966154016,0,-4539918979204.129,0,0,2,2
46,45,46,6.087569966154236,0,4539918979204.129,0,0,2,2
47,46,47,6.087569966154236,0,90000000000,0,0,2,2
48,47,48,6.087569966154236,0,90000000000,0,0,2,2
49,48,49,6.087569966154236,0,90000000000,0,0,2,2
50,49,50,6.087569966154016,0,-4539918979204.129,0,0,2,2
51,50,51,6.087569966154236,0,4539918979204.129,0,0,2,2
52,51,52,6.087569966154236,0,90000000000,0,0,2,2
53,52,53,6.238065673040358,0,6.644707817191647,0,0,2,2
54,53,54,6.209739438890511,0,-35.3029631369267,0,0,2,2
55,54,55,6.244251808273143,0,28.97511871506728,0,0,2,2
56,55,56,6.215944055663968,0,-35.32601170450704,0,0,2,2
57,56,57,6.230258461474216,0,69.85969332265694,0,0,2,2
58,57,58,6.238571958746752,0,120.28632081273634,0,0,2,2
59,58,59,6.226485802065634,0,-82.739288128069,0,0,2,2
60,59,60,6.233560779603008,0,141.3432049384531,0,0,2,2
61,60,61,6.2243284323299255,0,-108.31481641896171,0,0,2,2
62,61,62,6.230646910879353,0,158.26594838887956,0,0,2,2
63,62,63,6.230022624899437,0,-1601.8299820443783,0,0,2,2
64,63,64,6.233560779552702,0,282.63320798517594,0,0,2,2
65,64,65,6.230258461385871,0,-302.8175813112386,0,0,2,2
66,65,66,6.228811229771636,0,-690.9744025516786,0,0,2,2
67,66,67,6.228291667327738,0,-1924.6964667012937,0,0,2,2
68,67,68,6.228275010766245,0,-60036.40069303877,0,0,2,2
69,68,69,6.22829166728857,0,60036.54187172057,0,0,2,2
70,69,70,6.230953592568037,0,375.66794519499234,0,0,2,2
71,70,71,6.227439415730112,0,-284.5616615555785,0,0,2,2
72,71,72,6.231982141741701,0,220.13214035995443,0,0,2,2
73,72,73,6.243274605605673,0,88.55463360750767,0,0,2,2
74,73,74,6.240335029549911,0,-340.18510867916723,0,0,2,2
75,74,75,6.240024904495136,0,-3224.505677958713,0,0,2,2
76,75,76,6.239390998334387,0,-1577.5205573310848,0,0,2,2
77,76,77,6.239935471570408,0,1836.6375679152666,0,0,2,2
78,77,78,6.241083378331452,0,871.150893030806,0,0,2,2
79,78,79,6.239283533587395,0,-555.6034781899567,0,0,2,2
80,79,80,6.241290493617014,0,498.2660268474784,0,0,2,2
81,80,81,6.2399395445814045,0,-740.2203737084349,0,0,2,2
82,81,82,6.237572703083419,0,-422.503999888114,0,0,2,2
83,82,83,6.239175540426279,0,623.8936249236857,0,0,2,2
84,83,84,6.239493670550517,0,3143.367835398655,0,0,2,2
85,84,85,6.237796937508843,0,-589.3679061107283,0,0,2,2
86,85,86,6.238554688876455,0,1319.6940879852048,0,0,2,2
87,86,87,6.238065672139656,0,-2044.9197844328198,0,0,2,2
88,87,88,6.237507440512845,0,-1791.3710939540626,0,0,2,2
89,88,89,6.236847944919137,0,-1516.3103583110615,0,0,2,2
90,89,90,6.238554688698466,0,585.9110266644802,0,0,2,2
91,90,91,6.236211574024402,0,-426.7823555838386,0,0,2,2
92,91,92,6.2400249037430555,0,262.2380108146396,0,0,2,2
93,92,93,6.238893547331103,0,-883.8947562725116,0,0,2,2
94,93,94,6.239067014653359,0,5764.774523501316,0,0,2,2
95,94,95,6.239826713149771,0,1316.3116745954305,0,0,2,2
96,95,96,6.238627511469514,0,-833.8880911054075,0,0,2,2
97,96,97,6.242609245244729,0,251.14687632423042,0,0,2,2
98,97,98,6.238065671739035,0,-220.09108001591733,0,0,2,2
99,98,99,6.241420028833753,0,298.11972063875953,0,0,2,2
100,99,100,6.242011559931764,0,1690.5281960028994,0,0,2,2
101,100,101,6.243296852507482,0,778.0329699959298,0,0,2,2
102,101,102,6.2430732510336195,0,-4472.242435278363,0,0,2,2
103,102,103,6.242782055136699,0,-3434.114321577255,0,0,2,2
104,103,104,6.237372487229305,0,-184.85764798943035,0,0,2,2
105,104,105,6.242828930085013,0,183.26958174845626,0,0,2,2
106,105,106,6.246412771323466,0,279.03021742995975,0,0,2,2
107,106,107,6.243473947625387,0,-340.27219824505823,0,0,2,2
108,107,108,6.232290523696753,0,-89.4180535747778,0,0,2,2
109,108,109,6.283185285971049,0,19.64838728611271,0,0,2,2
110,109,110,0.29848336194841235,0,-0.1670926994686223,0,0,2,2
111,110,111,0.29848336194841235,0,90000000000,0,0,2,2
112,111,112,0.29848336194841235,0,90000000000,0,0,2,2
113,112,113,0.2984833619483961,0,-61482588769563.086,0,0,2,2
114,113,114,0.29848336194841235,0,61482588769563.086,0,0,2,2
115,114,115,0.29848336194841235,0,90000000000,0,0,2,2
116,115,116,0.29848336194841235,0,90000000000,0,0,2,2
117,116,117,0.29848336194841235,0,90000000000,0,0,2,2
118,117,118,0.29848336194841235,0,90000000000,0,0,2,2
119,118,119,0.29848336194841235,0,90000000000,0,0,2,2
120,119,120,0.2984833619481844,0,-4387335243419.8696,0,0,2,2
121,120,121,0.29848336194841235,0,4387335243419.8696,0,0,2,2
122,121,122,0.29848336194841235,0,90000000000,0,0,2,2
123,122,123,0.29848336194841235,0,90000000000,0,0,2,2
124,123,124,0.29848336194841235,0,90000000000,0,0,2,2
125,124,125,0.29848336194841235,0,90000000000,0,0,2,2
126,125,126,0.29848336194841235,0,90000000000,0,0,2,2
127,126,127,0.2984833619483961,0,-61482588769563.086,0,0,2,2
128,127,128,0.29848336194841235,0,61482588769563.086,0,0,2,2
129,128,129,0.29848336194841235,0,90000000000,0,0,2,2
