PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0.037,-1739.924,419.305,0,0,0,0
2,0,0,0.037,-1739.924,419.382,0,0,0,0
3,0,0,0.037,-1739.924,419.435,0,0,0,0
4,0,0,0.037,-1739.922,419.543,0,0,0,0
5,0,0,0.037,-1739.922,419.667,0,0,0,0
6,0,0,0.037,-1739.92,419.819,0,0,0,0
7,0,0,0.037,-1739.918,419.977,0,0,0,0
8,0,0,0.037,-1739.916,420.237,0,0,0,0
9,0,0,0.037,-1739.914,420.446,0,0,0,0
10,0,0,0.037,-1739.913,420.749,0,0,0,0
11,0,0,0.037,-1739.909,421.049,0,0,0,0
12,0,0,0.036,-1739.905,421.381,0,0,0,0
13,0,0,0.036,-1739.903,421.743,0,0,0,0
14,0,0,0.036,-1739.9,422.136,0,0,0,0
15,0,0,0.036,-1739.896,422.563,0,0,0,0
16,0,0,0.036,-1739.892,423.019,0,0,0,0
17,0,0,0.036,-1739.889,423.509,0,0,0,0
18,0,0,0.036,-1739.885,424.032,0,0,0,0
19,0,0,0.036,-1739.879,424.659,0,0,0,0
20,0,0,0.036,-1739.876,425.177,0,0,0,0
21,0,0,0.036,-1739.867,426.509,0,0,0,0
22,0,0,0.036,-1739.863,427.06,0,0,0,0
23,0,0,0.036,-1739.859,427.769,0,0,0,0
24,0,0,0.036,-1739.855,428.32,0,0,0,0
25,0,0,0.036,-1739.85,429.025,0,0,0,0
26,0,0,0.036,-1739.848,429.574,0,0,0,0
27,0,0,0.036,-1739.843,430.199,0,0,0,0
28,0,0,0.036,-1739.841,430.746,0,0,0,0
29,0,0,0.036,-1739.835,431.527,0,0,0,0
30,0,0,0.036,-1739.832,432.147,0,0,0,0
31,0,0,0.036,-1739.828,432.727,0,0,0,0
32,0,0,0.036,-1740.025,433.722,0,0,0,0
33,0,0,0.036,-1740.222,434.716,0,0,0,0
34,0,0,0.036,-1740.419,435.71,0,0,0,0
35,0,0,0.036,-1740.616,436.704,0,0,0,0
36,0,0,0.036,-1740.813,437.698,0,0,0,0
37,0,0,0.036,-1741.01,438.692,0,0,0,0
38,0,0,0.036,-1741.207,439.687,0,0,0,0
39,0,0,0.037,-1741.404,440.681,0,0,0,0
40,0,0,0.037,-1741.601,441.675,0,0,0,0
41,0,0,0.037,-1741.798,442.669,0,0,0,0
42,0,0,0.037,-1741.995,443.663,0,0,0,0
43,0,0,0.037,-1742.192,444.658,0,0,0,0
44,0,0,0.037,-1742.389,445.652,0,0,0,0
45,0,0,0.037,-1742.586,446.646,0,0,0,0
46,0,0,0.037,-1742.783,447.64,0,0,0,0
47,0,0,0.037,-1742.98,448.634,0,0,0,0
48,0,0,0.037,-1743.177,449.628,0,0,0,0
49,0,0,0.038,-1743.374,450.623,0,0,0,0
50,0,0,0.038,-1743.571,451.617,0,0,0,0
51,0,0,0.038,-1743.768,452.611,0,0,0,0
52,0,0,0.038,-1743.965,453.605,0,0,0,0
53,0,0,0.038,-1743.967,453.646,0,0,0,0
54,0,0,0.038,-1743.97,453.696,0,0,0,0
55,0,0,0.038,-1743.974,453.791,0,0,0,0
56,0,0,0.038,-1743.981,453.9,0,0,0,0
57,0,0,0.038,-1743.989,454.039,0,0,0,0
58,0,0,0.038,-1743.996,454.204,0,0,0,0
59,0,0,0.038,-1744.007,454.399,0,0,0,0
60,0,0,0.038,-1744.018,454.622,0,0,0,0
61,0,0,0.038,-1744.031,454.841,0,0,0,0
62,0,0,0.038,-1744.048,455.156,0,0,0,0
63,0,0,0.038,-1744.064,455.468,0,0,0,0
64,0,0,0.038,-1744.079,455.765,0,0,0,0
65,0,0,0.038,-1744.101,456.182,0,0,0,0
66,0,0,0.038,-1744.123,456.588,0,0,0,0
67,0,0,0.038,-1744.147,457.024,0,0,0,0
68,0,0,0.038,-1744.173,457.494,0,0,0,0
69,0,0,0.037,-1744.197,457.929,0,0,0,0
70,0,0,0.037,-1744.228,458.529,0,0,0,0
71,0,0,0.037,-1744.256,459.024,0,0,0,0
72,0,0,0.037,-1744.319,460.247,0,0,0,0
73,0,0,0.037,-1744.348,460.985,0,0,0,0
74,0,0,0.037,-1744.37,461.501,0,0,0,0
75,0,0,0.037,-1744.405,462.311,0,0,0,0
76,0,0,0.037,-1744.438,463.068,0,0,0,0
77,0,0,0.037,-1744.477,463.962,0,0,0,0
78,0,0,0.037,-1744.512,464.794,0,0,0,0
79,0,0,0.037,-1744.545,465.549,0,0,0,0
80,0,0,0.036,-1744.588,466.56,0,0,0,0
81,0,0,0.036,-1744.628,467.496,0,0,0,0
82,0,0,0.036,-1744.667,468.344,0,0,0,0
83,0,0,0.036,-1744.717,469.474,0,0,0,0
84,0,0,0.036,-1744.809,471.581,0,0,0,0
85,0,0,0.036,-1744.851,472.515,0,0,0,0
86,0,0,0.035,-1744.905,473.711,0,0,0,0
87,0,0,0.035,-1744.952,474.772,0,0,0,0
88,0,0,0.035,-1745.0,475.82,0,0,0,0
89,0,0,0.035,-1745.035,476.575,0,0,0,0
90,0,0,0.035,-1745.089,477.772,0,0,0,0
91,0,0,0.036,-1745.131,478.674,0,0,0,0
92,0,0,0.036,-1745.168,479.527,0,0,0,0
93,0,0,0.036,-1745.199,480.234,0,0,0,0
94,0,0,0.036,-1745.229,480.902,0,0,0,0
95,0,0,0.036,-1745.264,481.709,0,0,0,0
96,0,0,0.036,-1745.297,482.453,0,0,0,0
97,0,0,0.037,-1745.325,483.133,0,0,0,0
98,0,0,0.037,-1745.347,483.623,0,0,0,0
99,0,0,0.037,-1745.371,484.196,0,0,0,0
100,0,0,0.037,-1745.387,484.599,0,0,0,0
101,0,0,0.037,-1745.404,485.015,0,0,0,0
102,0,0,0.037,-1745.419,485.382,0,0,0,0
103,0,0,0.037,-1745.432,485.701,0,0,0,0
104,0,0,0.037,-1745.443,485.942,0,0,0,0
105,0,0,0.038,-1745.452,486.17,0,0,0,0
106,0,0,0.038,-1745.459,486.371,0,0,0,0
107,0,0,0.038,-1745.465,486.51,0,0,0,0
108,0,0,0.038,-1745.468,486.582,0,0,0,0
109,0,0,0.038,-1745.468,486.61,0,0,0,0
110,0,0,0.038,-1745.166,487.591,0,0,0,0
111,0,0,0.038,-1744.865,488.573,0,0,0,0
112,0,0,0.038,-1744.563,489.554,0,0,0,0
113,0,0,0.038,-1744.261,490.535,0,0,0,0
114,0,0,0.038,-1743.959,491.517,0,0,0,0
115,0,0,0.038,-1743.657,492.498,0,0,0,0
116,0,0,0.038,-1743.355,493.48,0,0,0,0
117,0,0,0.038,-1743.053,494.461,0,0,0,0
118,0,0,0.038,-1742.751,495.442,0,0,0,0
119,0,0,0.038,-1742.449,496.424,0,0,0,0
120,0,0,0.038,-1742.147,497.405,0,0,0,0
121,0,0,0.038,-1741.845,498.386,0,0,0,0
122,0,0,0.038,-1741.543,499.368,0,0,0,0
123,0,0,0.038,-1741.241,500.349,0,0,0,0
124,0,0,0.038,-1740.939,501.33,0,0,0,0
125,0,0,0.038,-1740.637,502.312,0,0,0,0
126,0,0,0.038,-1740.335,503.293,0,0,0,0
127,0,0,0.038,-1740.033,504.275,0,0,0,0
128,0,0,0.038,-1739.731,505.256,0,0,0,0
129,0,0,0.038,-1739.43,506.237,0,0,0,0
130,0,0,0.036,-1739.048,433.486,0,0,0,0
131,0,0,0.036,-1738.268,434.245,0,0,0,0
132,0,0,0.036,-1737.488,435.004,0,0,0,0
133,0,0,0.036,-1736.708,435.762,0,0,0,0
134,0,0,0.036,-1735.928,436.521,0,0,0,0
135,0,0,0.036,-1735.148,437.28,0,0,0,0
136,0,0,0.036,-1734.368,438.039,0,0,0,0
137,0,0,0.036,-1733.588,438.797,0,0,0,0
138,0,0,0.036,-1733.598,439.246,0,0,0,0
139,0,0,0.036,-1733.607,439.729,0,0,0,0
140,0,0,0.036,-1733.614,440.111,0,0,0,0
141,0,0,0.036,-1733.623,440.651,0,0,0,0
142,0,0,0.036,-1733.636,441.298,0,0,0,0
143,0,0,0.036,-1733.651,441.986,0,0,0,0
144,0,0,0.036,-1733.664,442.634,0,0,0,0
145,0,0,0.036,-1733.677,443.311,0,0,0,0
146,0,0,0.036,-1733.688,443.905,0,0,0,0
147,0,0,0.036,-1733.704,444.665,0,0,0,0
148,0,0,0.036,-1733.716,445.257,0,0,0,0
149,0,0,0.036,-1733.732,446.018,0,0,0,0
150,0,0,0.036,-1733.745,446.691,0,0,0,0
151,0,0,0.036,-1733.758,447.364,0,0,0,0
152,0,0,0.036,-1733.773,448.036,0,0,0,0
153,0,0,0.037,-1733.786,448.708,0,0,0,0
154,0,0,0.037,-1733.8,449.39,0,0,0,0
155,0,0,0.037,-1733.813,450.015,0,0,0,0
156,0,0,0.037,-1733.826,450.661,0,0,0,0
157,0,0,0.037,-1733.846,451.585,0,0,0,0
158,0,0,0.037,-1733.863,452.414,0,0,0,0
159,0,0,0.037,-1733.88,453.149,0,0,0,0
160,0,0,0.037,-1733.894,453.883,0,0,0,0
161,0,0,0.037,-1733.911,454.616,0,0,0,0
162,0,0,0.037,-1733.924,455.258,0,0,0,0
163,0,0,0.037,-1733.942,456.08,0,0,0,0
164,0,0,0.037,-1733.955,456.72,0,0,0,0
165,0,0,0.037,-1733.972,457.449,0,0,0,0
166,0,0,0.037,-1733.999,458.809,0,0,0,0
167,0,0,0.037,-1734.014,459.488,0,0,0,0
168,0,0,0.037,-1734.025,460.041,0,0,0,0
169,0,0,0.037,-1734.034,460.543,0,0,0,0
170,0,0,0.037,-1734.044,461.0,0,0,0,0
171,0,0,0.037,-1734.051,461.406,0,0,0,0
172,0,0,0.037,-1734.058,461.766,0,0,0,0
173,0,0,0.037,-1734.064,462.076,0,0,0,0
174,0,0,0.037,-1734.069,462.339,0,0,0,0
175,0,0,0.038,-1734.073,462.53,0,0,0,0
176,0,0,0.038,-1734.077,462.703,0,0,0,0
177,0,0,0.038,-1734.079,462.827,0,0,0,0
178,0,0,0.038,-1734.079,462.903,0,0,0,0
179,0,0,0.038,-1734.08,462.935,0,0,0,0
180,0,0,0.038,-1734.195,463.941,0,0,0,0
181,0,0,0.038,-1734.31,464.948,0,0,0,0
182,0,0,0.038,-1734.425,465.954,0,0,0,0
183,0,0,0.038,-1734.539,466.96,0,0,0,0
184,0,0,0.038,-1734.654,467.967,0,0,0,0
185,0,0,0.038,-1734.769,468.973,0,0,0,0
186,0,0,0.038,-1734.883,469.98,0,0,0,0
187,0,0,0.038,-1734.998,470.986,0,0,0,0
188,0,0,0.038,-1735.113,471.993,0,0,0,0
189,0,0,0.038,-1735.227,472.999,0,0,0,0
190,0,0,0.038,-1735.342,474.006,0,0,0,0
191,0,0,0.038,-1735.457,475.012,0,0,0,0
192,0,0,0.038,-1735.572,476.019,0,0,0,0
193,0,0,0.038,-1735.686,477.025,0,0,0,0
194,0,0,0.038,-1735.801,478.031,0,0,0,0
195,0,0,0.038,-1735.916,479.038,0,0,0,0
196,0,0,0.038,-1736.03,480.044,0,0,0,0
197,0,0,0.038,-1736.145,481.051,0,0,0,0
198,0,0,0.038,-1736.26,482.057,0,0,0,0
199,0,0,0.038,-1736.375,483.064,0,0,0,0
200,0,0,0.038,-1736.489,484.07,0,0,0,0
201,0,0,0.038,-1736.604,485.077,0,0,0,0
202,0,0,0.038,-1736.719,486.083,0,0,0,0
203,0,0,0.038,-1736.833,487.09,0,0,0,0
204,0,0,0.038,-1736.948,488.096,0,0,0,0
205,0,0,0.038,-1737.063,489.102,0,0,0,0
206,0,0,0.038,-1737.178,490.109,0,0,0,0
207,0,0,0.038,-1737.292,491.115,0,0,0,0
208,0,0,0.038,-1737.407,492.122,0,0,0,0
209,0,0,0.038,-1737.522,493.128,0,0,0,0
210,0,0,0.038,-1737.636,494.135,0,0,0,0
211,0,0,0.038,-1737.751,495.141,0,0,0,0
212,0,0,0.038,-1737.866,496.148,0,0,0,0
213,0,0,0.038,-1737.981,497.154,0,0,0,0
214,0,0,0.038,-1738.095,498.161,0,0,0,0
215,0,0,0.038,-1738.21,499.167,0,0,0,0
216,0,0,0.038,-1738.325,500.174,0,0,0,0
217,0,0,0.038,-1738.439,501.18,0,0,0,0
218,0,0,0.038,-1738.554,502.186,0,0,0,0
219,0,0,0.038,-1738.669,503.193,0,0,0,0
220,0,0,0.038,-1738.783,504.199,0,0,0,0
221,0,0,0.038,-1738.898,505.206,0,0,0,0
222,0,0,0.038,-1739.013,506.212,0,0,0,0
223,0,0,0.038,-1739.128,507.219,0,0,0,0
224,0,0,0.038,-1739.139,507.328,0,0,0,0
