LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,CrossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
12549,12549,0,12550,12549,12550,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12550,12550,12549,12551,12550,12551,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12551,12551,12550,12552,12551,12552,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12552,12552,12551,12553,12552,12553,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12553,12553,12552,12554,12553,12554,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12554,12554,12553,12555,12554,12555,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12555,12555,12554,12556,12555,12556,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12556,12556,12555,12557,12556,12557,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12557,12557,12556,12558,12557,12558,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12558,12558,12557,12559,12558,12559,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12559,12559,12558,12560,12559,12560,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12560,12560,12559,12561,12560,12561,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12561,12561,12560,12562,12561,12562,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12562,12562,12561,12563,12562,12563,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12563,12563,12562,12564,12563,12564,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12564,12564,12563,12565,12564,12565,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12565,12565,12564,12566,12565,12566,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12566,12566,12565,12567,12566,12567,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12567,12567,12566,12568,12567,12568,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12568,12568,12567,12569,12568,12569,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12569,12569,12568,12570,12569,12570,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12570,12570,12569,12571,12570,12571,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12571,12571,12570,12572,12571,12572,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12572,12572,12571,12573,12572,12573,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12573,12573,12572,12574,12573,12574,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12574,12574,12573,12575,12574,12575,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12575,12575,12574,12576,12575,12576,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12576,12576,12575,12577,12576,12577,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12577,12577,12576,12578,12577,12578,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12578,12578,12577,12579,12578,12579,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12579,12579,12578,12580,12579,12580,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12580,12580,12579,12581,12580,12581,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12581,12581,12580,12582,12581,12582,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12582,12582,12581,12583,12582,12583,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12583,12583,12582,12584,12583,12584,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12584,12584,12583,12585,12584,12585,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12585,12585,12584,12586,12585,12586,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12586,12586,12585,12587,12586,12587,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12587,12587,12586,12588,12587,12588,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12588,12588,12587,12589,12588,12589,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12589,12589,12588,12590,12589,12590,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12590,12590,12589,12591,12590,12591,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12591,12591,12590,12592,12591,12592,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12592,12592,12591,12593,12592,12593,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12593,12593,12592,12594,12593,12594,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12594,12594,12593,12595,12594,12595,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12595,12595,12594,12596,12595,12596,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12596,12596,12595,12597,12596,12597,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12597,12597,12596,12598,12597,12598,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12598,12598,12597,12599,12598,12599,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12599,12599,12598,12600,12599,12600,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12600,12600,12599,12601,12600,12601,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12601,12601,12600,12602,12601,12602,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12602,12602,12601,12603,12602,12603,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12603,12603,12602,12604,12603,12604,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12604,12604,12603,12605,12604,12605,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12605,12605,12604,12606,12605,12606,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12606,12606,12605,12607,12606,12607,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12607,12607,12606,12608,12607,12608,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12608,12608,12607,12609,12608,12609,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12609,12609,12608,12610,12609,12610,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12610,12610,12609,12611,12610,12611,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12611,12611,12610,12612,12611,12612,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12612,12612,12611,12613,12612,12613,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12613,12613,12612,12614,12613,12614,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12614,12614,12613,12615,12614,12615,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12615,12615,12614,12616,12615,12616,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
12616,12616,12615,12617,12616,12617,0,0,0,0,0,0,0,0,1.0,1,1,0,20,20,0,0,0
