DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10001,0,10001,6.283185299716217,0,90000000000,0,0,2,2
10002,1,10002,6.283185299716217,0,90000000000,0,0,2,2
10003,2,10003,6.283185299712732,0,-286999721346.57764,0,0,2,2
10004,3,10004,6.2831852997065525,0,-161813726191.81143,0,0,2,2
10005,4,10005,6.2831852997023265,0,-236633019512.95166,0,0,2,2
10006,5,10006,6.2831852996901825,0,-82344760245.93169,0,0,2,2
10007,6,10007,6.283185299675585,0,-68506231021.7599,0,0,2,2
10008,7,10008,6.2831852996694275,0,-162397217199.2823,0,0,2,2
10009,8,10009,6.283185299659976,0,-105807716083.32149,0,0,2,2
10010,9,10010,6.283185299649981,0,-100044420369.87952,0,0,2,2
10011,10,10011,6.283185299643293,0,-149521899979.10013,0,0,2,2
10012,11,10012,6.283185299634297,0,-111167052413.37125,0,0,2,2
10013,12,10013,6.283185299619584,0,-67964499990.50006,0,0,2,2
10014,13,10014,6.283185299603852,0,-63567067911.16892,0,0,2,2
10015,14,10015,6.283185299591111,0,-78481800281.79451,0,0,2,2
10016,15,10016,6.28318529957799,0,-76218515220.86542,0,0,2,2
10017,16,10017,6.2831852995572035,0,-48107157188.6269,0,0,2,2
10018,17,10018,6.283185299536294,0,-47825159580.43599,0,0,2,2
10019,18,10019,6.283185299522682,0,-73463389458.60785,0,0,2,2
10020,19,10020,6.283185299508104,0,-68598056835.5952,0,0,2,2
10021,20,10021,6.283185299483874,0,-41270477872.60819,0,0,2,2
10022,21,10022,6.2831852994577595,0,-38293310211.63948,0,0,2,2
10023,22,10023,6.2831852994318975,0,-38666800839.43348,0,0,2,2
10024,23,10024,6.2831852994055915,0,-38014042367.56783,0,0,2,2
10025,24,10025,6.283185299385951,0,-50915746702.96314,0,0,2,2
10026,25,10026,6.279422795690326,0,-265.7804698405587,0,0,2,2
10027,26,10027,6.27963779401734,0,4651.198983220292,0,0,2,2
10028,27,10028,6.283185299321778,0,281.8882324852608,0,0,2,2
10029,28,10029,6.283185299300424,0,-46830542668.772316,0,0,2,2
10030,29,10030,6.2800812290658,0,-322.1576589490948,0,0,2,2
10031,30,10031,6.2797951905422025,0,-3496.0325882768707,0,0,2,2
10032,31,10032,6.283185299228818,0,294.9757935337121,0,0,2,2
10033,32,10033,6.280100508808845,0,-324.1711312137189,0,0,2,2
10034,33,10034,6.283185299179473,0,324.171136399277,0,0,2,2
10035,34,10035,6.28010050876014,0,-324.17113128101414,0,0,2,2
10036,35,10036,6.283185299129787,0,324.1711365023198,0,0,2,2
10037,36,10037,6.280433766826971,0,-363.4338579185757,0,0,2,2
10038,37,10038,6.283185299075187,0,363.4338651303557,0,0,2,2
10039,38,10039,6.280229040822546,0,-338.26544047916406,0,0,2,2
10040,39,10040,6.280379358198916,0,6652.590832462526,0,0,2,2
10041,40,10041,6.2804337667183585,0,18379.474579396232,0,0,2,2
10042,41,10042,6.2804337666891685,0,-34258326695.348366,0,0,2,2
10043,42,10043,6.28042612355393,0,-130836.36083845266,0,0,2,2
10044,43,10044,6.280418437825054,0,-130111.27715753681,0,0,2,2
10045,44,10045,6.280467642985731,0,20323.071528080436,0,0,2,2
10046,45,10046,6.2806318193575885,0,6091.010470548186,0,0,2,2
10047,46,10047,6.280657808827318,0,38477.12209673572,0,0,2,2
10048,47,10048,6.280651361144853,0,-155094.4863559815,0,0,2,2
10049,48,10049,6.280644880483695,0,-154305.24380606797,0,0,2,2
10050,49,10050,6.278104495028439,0,-393.64105078255096,0,0,2,2
10051,50,10051,6.280638366556546,0,394.65299992814755,0,0,2,2
10052,51,10052,6.280635097034145,0,-305855.0691947762,0,0,2,2
10053,52,10053,6.280625238003337,0,-101429.84837051295,0,0,2,2
10054,53,10054,6.280625237972389,0,-32312590599.317646,0,0,2,2
10055,54,10055,6.2802552016802835,0,-2702.4376293199552,0,0,2,2
10056,55,10056,6.280618622800834,0,2751.6287399211365,0,0,2,2
10057,56,10057,6.280973039981664,0,2821.533644779671,0,0,2,2
10058,57,10058,6.280808973530078,0,-6095.091289760044,0,0,2,2
10059,58,10059,6.278488852227059,0,-431.0119469609853,0,0,2,2
10060,59,10060,6.278488852192306,0,-28774788050.56798,0,0,2,2
10061,60,10061,6.280837062271451,0,425.8562761830099,0,0,2,2
10062,61,10062,6.278466541547659,0,-421.8482420184551,0,0,2,2
10063,62,10063,6.28082590672998,0,423.84282327004587,0,0,2,2
10064,63,10064,6.277786950308041,0,-329.06032899344007,0,0,2,2
10065,64,10065,6.278976400722961,0,840.724411422832,0,0,2,2
10066,65,10066,6.280486104513479,0,662.38159185942,0,0,2,2
10067,66,10067,6.2791310114869265,0,-737.9567161848735,0,0,2,2
10068,67,10068,6.279942744673442,0,1231.931891675542,0,0,2,2
10069,68,10069,6.2788945871171835,0,-954.0550407034791,0,0,2,2
10070,69,10070,6.27826798282684,0,-1595.9035317994953,0,0,2,2
10071,70,10071,6.279357549124457,0,917.796376583032,0,0,2,2
10072,71,10072,6.278866604456905,0,-2036.889421746296,0,0,2,2
10073,72,10073,6.278396670745119,0,-2127.9596992511742,0,0,2,2
10074,73,10074,6.27920413373646,0,1238.4468523305459,0,0,2,2
10075,74,10075,6.279204133696197,0,-24836757849.70052,0,0,2,2
10076,75,10076,6.277201600017024,0,-499.36738163276243,0,0,2,2
10077,76,10077,6.279188113006514,0,503.394644430155,0,0,2,2
10078,77,10078,6.2771774726838885,0,-497.3539965090473,0,0,2,2
10079,78,10079,6.27925920831858,0,480.3683922854351,0,0,2,2
10080,79,10080,6.278183800047192,0,-929.8794017176104,0,0,2,2
10081,80,10081,6.277934390560375,0,-4009.470580938539,0,0,2,2
10082,81,10082,6.277594516905237,0,-2942.269825515964,0,0,2,2
10083,82,10083,6.277573459750288,0,-47489.79633757611,0,0,2,2
10084,83,10084,6.2771955859196575,0,-2646.3859599162915,0,0,2,2
10085,84,10085,6.276518914916036,0,-1477.8230405137438,0,0,2,2
10086,85,10086,6.276735349749,0,4620.328374615019,0,0,2,2
10087,86,10087,6.278168643845184,0,697.6935177938573,0,0,2,2
10088,87,10088,6.277520116169421,0,-1541.9542409237997,0,0,2,2
10089,88,10089,6.276721358803983,0,-1251.9446370954072,0,0,2,2
10090,89,10090,6.276451123027204,0,-3700.4722761704156,0,0,2,2
10091,90,10091,6.277509325454697,0,944.9987771896517,0,0,2,2
10092,91,10092,6.277752502498405,0,4112.230269569127,0,0,2,2
10093,92,10093,6.277883003020922,0,7662.804567456033,0,0,2,2
10094,93,10094,6.276878677675331,0,-995.6932824504049,0,0,2,2
10095,94,10095,6.277103908368011,0,4439.89221939143,0,0,2,2
10096,95,10096,6.277844994333208,0,1349.3711215202773,0,0,2,2
10097,96,10097,6.276052163229175,0,-557.7770252594572,0,0,2,2
