PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,0.038,-1739.662,168.951,0,0,0,0
10002,0,0,0.038,-1739.662,169.09,0,0,0,0
10003,0,0,0.038,-1739.662,169.188,0,0,0,0
10004,0,0,0.038,-1739.662,169.296,0,0,0,0
10005,0,0,0.038,-1739.662,169.444,0,0,0,0
10006,0,0,0.038,-1739.662,169.847,0,0,0,0
10007,0,0,0.038,-1739.662,170.051,0,0,0,0
10008,0,0,0.038,-1739.662,170.227,0,0,0,0
10009,0,0,0.038,-1739.662,170.455,0,0,0,0
10010,0,0,0.038,-1739.662,170.633,0,0,0,0
10011,0,0,0.038,-1739.662,170.836,0,0,0,0
10012,0,0,0.038,-1739.662,171.038,0,0,0,0
10013,0,0,0.038,-1739.662,171.515,0,0,0,0
10014,0,0,0.038,-1739.662,171.784,0,0,0,0
10015,0,0,0.038,-1739.662,172.084,0,0,0,0
10016,0,0,0.038,-1739.662,172.405,0,0,0,0
10017,0,0,0.038,-1739.662,173.045,0,0,0,0
10018,0,0,0.038,-1739.662,173.364,0,0,0,0
10019,0,0,0.038,-1739.662,173.689,0,0,0,0
10020,0,0,0.038,-1739.662,174.039,0,0,0,0
10021,0,0,0.038,-1739.662,174.828,0,0,0,0
10022,0,0,0.038,-1739.662,175.232,0,0,0,0
10023,0,0,0.038,-1739.662,176.041,0,0,0,0
10024,0,0,0.037,-1739.662,176.464,0,0,0,0
10025,0,0,0.037,-1739.662,176.92,0,0,0,0
10026,0,0,0.037,-1739.664,177.41,0,0,0,0
10027,0,0,0.037,-1739.666,177.93,0,0,0,0
10028,0,0,0.037,-1739.666,178.46,0,0,0,0
10029,0,0,0.037,-1739.666,178.922,0,0,0,0
10030,0,0,0.037,-1739.668,179.516,0,0,0,0
10031,0,0,0.037,-1739.669,180.059,0,0,0,0
10032,0,0,0.037,-1739.669,180.636,0,0,0,0
10033,0,0,0.037,-1739.671,181.234,0,0,0,0
10034,0,0,0.037,-1739.671,181.757,0,0,0,0
10035,0,0,0.037,-1739.673,182.354,0,0,0,0
10036,0,0,0.037,-1739.673,182.95,0,0,0,0
10037,0,0,0.037,-1739.675,183.619,0,0,0,0
10038,0,0,0.037,-1739.675,184.215,0,0,0,0
10039,0,0,0.037,-1739.677,184.838,0,0,0,0
10040,0,0,0.037,-1739.679,185.495,0,0,0,0
10041,0,0,0.037,-1739.68,186.165,0,0,0,0
10042,0,0,0.037,-1739.682,186.834,0,0,0,0
10043,0,0,0.037,-1739.684,187.502,0,0,0,0
10044,0,0,0.037,-1739.688,188.834,0,0,0,0
10045,0,0,0.037,-1739.691,190.19,0,0,0,0
10046,0,0,0.037,-1739.693,190.912,0,0,0,0
10047,0,0,0.037,-1739.695,191.641,0,0,0,0
10048,0,0,0.037,-1739.697,192.368,0,0,0,0
10049,0,0,0.037,-1739.699,193.094,0,0,0,0
10050,0,0,0.037,-1739.703,193.819,0,0,0,0
10051,0,0,0.037,-1739.704,194.542,0,0,0,0
10052,0,0,0.037,-1739.708,195.988,0,0,0,0
10053,0,0,0.037,-1739.71,196.707,0,0,0,0
10054,0,0,0.037,-1739.712,197.427,0,0,0,0
10055,0,0,0.037,-1739.714,198.056,0,0,0,0
10056,0,0,0.037,-1739.715,198.774,0,0,0,0
10057,0,0,0.037,-1739.717,199.607,0,0,0,0
10058,0,0,0.037,-1739.719,200.382,0,0,0,0
10059,0,0,0.037,-1739.723,201.167,0,0,0,0
